"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,64.0,0.0,0.00024396181106567383,"[[[[Sentence1]]]]: 身上裹一件工厂发的棉大衣,手插在袖筒里
[[[[Sentence2]]]]: 身上[[至]]少[[一]][[件]]衣服",2.0,0.9966062307357788,"[[[[Sentence1]]]]: 身上裹一件工厂发的棉大衣,手插在袖筒里
[[[[Sentence2]]]]: 身上少衣服","Successful"
0.0,1.0,1.0,0.9940698146820068,"[[[[Sentence1]]]]: 东、中、西部地区要加强多种形式的合作,在协调发展中逐步实现共同富裕
[[[[Sentence2]]]]: 东、中、西部地区发展存在不协调",1.0,0.9940698146820068,"[[[[Sentence1]]]]: 东、中、西部地区要加强多种形式的合作,在协调发展中逐步实现共同富裕
[[[[Sentence2]]]]: 东、中、西部地区发展存在不协调","Skipped"
1.0,1.0,2.0,0.9763974547386169,"[[[[Sentence1]]]]: 外贸经营权进一步放开
[[[[Sentence2]]]]: 外贸经营权经历了先收缩再放开的过程。",2.0,0.9763974547386169,"[[[[Sentence1]]]]: 外贸经营权进一步放开
[[[[Sentence2]]]]: 外贸经营权经历了先收缩再放开的过程。","Skipped"
1.0,43.0,1.0,0.00015735626220703125,"[[[[Sentence1]]]]: 一些地方财政收支矛盾较大
[[[[Sentence2]]]]: 地[[方]][[经]]历了经济危机",0.0,0.5756588578224182,"[[[[Sentence1]]]]: 一些地方财政收支矛盾较大
[[[[Sentence2]]]]: 地历了经济危机","Successful"
0.0,20.0,0.0,0.0006015300750732422,"[[[[Sentence1]]]]: [[等]]他回来,我们就出去吃啊.
[[[[Sentence2]]]]: 我们在等他",1.0,0.9986942410469055,"[[[[Sentence1]]]]: 他回来,我们就出去吃啊.
[[[[Sentence2]]]]: 我们在等他","Successful"
0.0,22.0,0.0,0.013105988502502441,"[[[[Sentence1]]]]: 我觉得你看吧,咱们从专业角度,咱们刚刚说了,物理学咱们都没有办法去判断他到底怎么排名
[[[[Sentence2]]]]: 他学习[[物]]理学",2.0,0.9997801184654236,"[[[[Sentence1]]]]: 我觉得你看吧,咱们从专业角度,咱们刚刚说了,物理学咱们都没有办法去判断他到底怎么排名
[[[[Sentence2]]]]: 他学习理学","Successful"
2.0,64.0,2.0,9.059906005859375e-05,"[[[[Sentence1]]]]: 否则,我们的高要求得不到落实,也影响了我们的低目标的实现
[[[[Sentence2]]]]: 我们的要求落实与[[否]][[无]][[所]]谓。",0.0,0.9848738312721252,"[[[[Sentence1]]]]: 否则,我们的高要求得不到落实,也影响了我们的低目标的实现
[[[[Sentence2]]]]: 我们的要求落实与谓。","Successful"
1.0,43.0,1.0,9.238719940185547e-05,"[[[[Sentence1]]]]: 因此,日本舆论曾盛传海部内阁是过渡性政权
[[[[Sentence2]]]]: 此舆论在[[中]]国传播范围同[[样]]广泛",0.0,0.9976844787597656,"[[[[Sentence1]]]]: 因此,日本舆论曾盛传海部内阁是过渡性政权
[[[[Sentence2]]]]: 此舆论在国传播范围同广泛","Successful"
0.0,45.0,0.0,0.000646054744720459,"[[[[Sentence1]]]]: 阿嗲说,谢谢你们,[[生]][[日]]还送了东西.
[[[[Sentence2]]]]: 阿嗲收到生日礼物",1.0,0.9937912225723267,"[[[[Sentence1]]]]: 阿嗲说,谢谢你们,还送了东西.
[[[[Sentence2]]]]: 阿嗲收到生日礼物","Successful"
1.0,1.0,0.0,0.9998839497566223,"[[[[Sentence1]]]]: 他当时每次喝酒喝大,有一次喝酒喝得太大我就把他拽到我们家,因为我知道他一定最后以吐出来为终点
[[[[Sentence2]]]]: 我去过他家",0.0,0.9998839497566223,"[[[[Sentence1]]]]: 他当时每次喝酒喝大,有一次喝酒喝得太大我就把他拽到我们家,因为我知道他一定最后以吐出来为终点
[[[[Sentence2]]]]: 我去过他家","Skipped"
